host_ic_metodo,host_n,host_media,host_mediana,host_desvio,host_iqr,host_ic95_lo,host_ic95_hi,kvm_ic_metodo,kvm_n,kvm_media,kvm_mediana,kvm_desvio,kvm_iqr,kvm_ic95_lo,kvm_ic95_hi,qemu_ic_metodo,qemu_n,qemu_media,qemu_mediana,qemu_desvio,qemu_iqr,qemu_ic95_lo,qemu_ic95_hi,host_shapiro_p,kvm_shapiro_p,qemu_shapiro_p,levene_p,teste_global,teste_global_estat,teste_global_p,posthoc_dunn,effect_size_epsilon2,metrica,p_fdr_corrigido
simples,15,2867.914933333333,2787.834,107.24661032769741,198.51800000000003,2814.3560733333325,2918.0997699999994,estratificado_por_vm,15,2932.268933333333,2997.712,126.08959260296203,271.27900000000045,2863.391743333333,3008.972183333333,,,,,,,,,0.0005772209733255119,0.0008660095979125673,,0.5070355426562104,Kruskal-Wallis,3.5617204301075276,0.0591264278443418,,0.12281794586577681,gpu_matrixmul_gflops,0.07390803480542725
simples,15,18.10836,18.1145,0.017267756906194715,0.012250000000001648,18.10104,18.117734000000002,estratificado_por_vm,15,18.10504666666667,18.1087,0.03393967056550861,0.041200000000003456,18.087813000000004,18.122753333333343,,,,,,,,,0.002318369449791605,0.9557346641448399,,0.011139643526510807,Kruskal-Wallis,0.0038709677419319632,0.9503899436993735,,0.00013348164627351598,gpu_nccl_allgather_busbw_gbs,0.9503899436993735
simples,15,19.398733333333332,19.4387,0.179127160206959,0.3001000000000005,19.310171999999994,19.483754333333334,estratificado_por_vm,15,19.493966666666662,19.4578,0.16146851823483252,0.3165000000000049,19.359264999999994,19.621712833333323,,,,,,,,,0.15006419744690436,0.08054660659165686,,0.5901446923678986,ANOVA,2.3391341165105386,0.1373797893486394,,,gpu_nccl_allreduce_busbw_gbs,0.1526442103873771
simples,15,9.463815333333333,9.47229,0.032027698473724386,0.03593000000000046,9.448846599999998,9.479893716666666,estratificado_por_vm,15,9.467388000000001,9.51497,0.17694080621173036,0.1808499999999995,9.385763933333335,9.565020483333337,,,,,,,,,0.28791368944455836,0.016616548333392565,,0.009213165805720494,Kruskal-Wallis,2.2920430107526926,0.13003865467640902,,0.07903596588802388,gpu_nccl_sendrecv_busbw_gbs,0.1526442103873771
simples,15,68498.15199999999,68638.33,716.1851424556946,326.7449999999808,68235.34136666665,68897.09744999996,estratificado_por_vm,15,56793.92,56887.71,1987.3460740358528,2470.1800000000076,55367.46881666665,58726.44441666666,estratificado_por_vm,15.0,4966.214000000001,4969.95,11.760840470452315,4.845000000001164,4961.914666666669,4975.148800000001,1.996866011587033e-05,0.03768371879510774,6.1386002469547825e-06,1.8205941681633926e-07,Kruskal-Wallis,39.13043478260869,3.1837140185131715e-09,"{'host': {'host': 1.0, 'kvm': 0.00528510576430141, 'qemu': 1.1892479123669963e-09}, 'kvm': {'host': 0.00528510576430141, 'kvm': 1.0, 'qemu': 0.00528510576430141}, 'qemu': {'host': 1.1892479123669963e-09, 'kvm': 0.00528510576430141, 'qemu': 1.0}}",0.8893280632411066,mem_bogo_ops_s_cpu,1.5918570092565855e-08
simples,15,546933.5,549097.42,9611.883357540151,2613.9749999999767,543794.1484999999,552192.7713666665,estratificado_por_vm,15,453350.768,455076.89,16701.21794089717,25281.75,441514.8526666666,468514.2442000001,estratificado_por_vm,15.0,39724.71933333333,39753.35,94.07261681933917,34.71999999999389,39691.25011666666,39797.716049999995,1.7685166844605295e-06,0.059499260090084785,3.2057285618179173e-06,7.166106456185875e-06,Kruskal-Wallis,39.13043478260869,3.1837140185131715e-09,"{'host': {'host': 1.0, 'kvm': 0.00528510576430141, 'qemu': 1.1892479123669963e-09}, 'kvm': {'host': 0.00528510576430141, 'kvm': 1.0, 'qemu': 0.00528510576430141}, 'qemu': {'host': 1.1892479123669963e-09, 'kvm': 0.00528510576430141, 'qemu': 1.0}}",0.8893280632411066,mem_bogo_ops_s_real,1.5918570092565855e-08
simples,15,128377.65333333332,130003.4,3039.6981339474833,4024.2999999999884,126978.27799999999,129904.77733333332,estratificado_por_vm,15,80417.78000000001,80981.7,6568.448732844003,6735.1999999999825,75640.47483333336,85936.99650000002,,,,,,,,,0.006084776023136795,0.9230203488752045,,0.07145062310635086,Kruskal-Wallis,21.774193548387103,3.0669777654622633e-06,,0.7508342602892104,stream_add_mbs,5.111629609103772e-06
simples,15,117565.92666666668,114838.7,4575.428191432183,8743.25,115271.2121666667,119758.95333333337,estratificado_por_vm,15,83351.39999999998,84875.4,4868.757866232414,7121.449999999997,80235.12349999996,86900.24699999996,,,,,,,,,0.0027746920343134163,0.5199270821067866,,0.8886773630196585,Kruskal-Wallis,21.774193548387103,3.0669777654622633e-06,,0.7508342602892104,stream_copy_mbs,5.111629609103772e-06
simples,15,126865.22666666667,128684.3,4308.9405717260315,4633.800000000003,124980.69649999999,129105.28466666666,estratificado_por_vm,15,85154.81333333332,85156.8,5135.869855364139,7756.199999999997,80871.36366666664,89196.04233333332,,,,,,,,,0.0015673284823116266,0.8435512665192002,,0.39193291329186863,Kruskal-Wallis,21.774193548387103,3.0669777654622633e-06,,0.7508342602892104,stream_scale_mbs,5.111629609103772e-06
simples,15,128322.0,130443.6,3014.469570493053,5783.149999999994,126871.65416666667,129781.76950000001,estratificado_por_vm,15,82030.82,81521.9,6500.559758117539,8563.149999999994,77036.43883333335,87408.52,,,,,,,,,0.004450621022097075,0.9782410496278913,,0.05920640254852951,Kruskal-Wallis,21.774193548387103,3.0669777654622633e-06,,0.7508342602892104,stream_triad_mbs,5.111629609103772e-06
