metrica,ambiente,n,media,mediana,desvio,q1,q3,iqr
disk_seqwrite_MiBs,qemu,15,424.8,426.0,13.25680418286614,414.0,430.5,16.5
gpu_matrixmul_gflops,host,15,2867.9149333333335,2787.834,107.24661032769738,2785.3379999999997,2983.8559999999998,198.51800000000003
gpu_matrixmul_gflops,kvm,15,2932.2689333333333,2997.712,126.08959260296203,2787.1409999999996,3058.42,271.27900000000045
gpu_nccl_allgather_busbw_gbs,host,15,18.10836,18.1145,0.01726775690619465,18.105449999999998,18.1177,0.012250000000001648
gpu_nccl_allgather_busbw_gbs,kvm,15,18.105046666666667,18.1087,0.03393967056550921,18.0843,18.125500000000002,0.041200000000003456
gpu_nccl_allreduce_busbw_gbs,host,15,19.398733333333332,19.4387,0.17912716020695874,19.23225,19.53235,0.3001000000000005
gpu_nccl_allreduce_busbw_gbs,kvm,15,19.493966666666665,19.4578,0.16146851823483246,19.335949999999997,19.65245,0.3165000000000049
gpu_nccl_sendrecv_busbw_gbs,host,15,9.463815333333335,9.47229,0.03202769847372456,9.44858,9.48451,0.03593000000000046
gpu_nccl_sendrecv_busbw_gbs,kvm,15,9.467388,9.51497,0.17694080621173053,9.409635000000002,9.590485000000001,0.1808499999999995
mem_bogo_ops_s_cpu,host,15,68498.152,68638.33,716.1851424556949,68498.29500000001,68825.04,326.7449999999808
mem_bogo_ops_s_cpu,kvm,15,56793.920000000006,56887.71,1987.3460740358507,55932.84,58403.020000000004,2470.1800000000076
mem_bogo_ops_s_cpu,qemu,15,4966.214000000001,4969.95,11.760840470452372,4965.924999999999,4970.77,4.845000000001164
mem_bogo_ops_s_real,host,15,546933.5,549097.42,9611.883357540151,547966.205,550580.1799999999,2613.9749999999767
mem_bogo_ops_s_real,kvm,15,453350.768,455076.89,16701.217940897197,441885.58499999996,467167.33499999996,25281.75
mem_bogo_ops_s_real,qemu,15,39724.719333333334,39753.35,94.07261681933794,39725.135,39759.854999999996,34.71999999999389
stream_add_mbs,host,15,128377.65333333334,130003.4,3039.6981339474833,126640.45000000001,130664.75,4024.2999999999884
stream_add_mbs,kvm,15,80417.78,80981.7,6568.448732844005,76738.20000000001,83473.4,6735.1999999999825
stream_copy_mbs,host,15,117565.92666666667,114838.7,4575.428191432182,114056.85,122800.1,8743.25
stream_copy_mbs,kvm,15,83351.4,84875.4,4868.757866232419,80079.85,87201.3,7121.449999999997
stream_scale_mbs,host,15,126865.22666666665,128684.3,4308.940571726031,125142.9,129776.7,4633.800000000003
stream_scale_mbs,kvm,15,85154.81333333332,85156.8,5135.8698553641425,80988.05,88744.25,7756.199999999997
stream_triad_mbs,host,15,128322.0,130443.6,3014.4695704930514,125261.1,131044.25,5783.149999999994
stream_triad_mbs,kvm,15,82030.82,81521.9,6500.559758117543,77330.35,85893.5,8563.149999999994
